original_term,replacement
mendptkan,mendapatkan
satset,cepat
szn,musim
gebukin,pukuli
seabreg,seabrek
sgitu,segitu
restock,stok ulang
heleh,alah
ngebangga,membanggakan
dindikbud,dinas pendidikan dan kebudayaan
purwerejo,purworejo
kayakny,kayaknya
duluin,dahulukan
reading,membaca
sihhhhh,sih
sbanyak,sebanyak
sarigandum,sari gandum
piranha,piranha
looksnya,tampilannya
ngulur,mengulur
ditelen,ditelan
mslah,masalah
cukk,sialan
trf,transfer
ampir,hampir
ppk,pejabat pembuat komitmen
evil,jahat
incl,termasuk
guwe,saya
overweight,kelebihan berat badan
tlonk,tolong
propesor,profesor
mrasa,merasa
young,muda
brow,bro
legend,legenda
separoh,separuh
bejad,bejat
direview,diulas
wehh,wah
cheese,keju
platter,piring saji
brati,berarti
freeze,beku
poisoned,keracunan
giziii,gizi
exco,komite eksekutif
sds,sekolah dasar swasta
mesir,mesir
palelu,kepalamu
jaln,jalan
dontol,bajingan
jelassss,jelas
otaklu,otakmu
pete,petai
mango,mangga
dilariin,dilarikan
yeuuu,ye
nis,nomor induk siswa
bejirrrr,wow
yahayuk,ayo
kontenin,dijadikan konten
melaka,melaka
jannah,surga
sauce,saus
sigana,sepertinya
criminal,kriminal
tamba,tambah
begono,begitu
yayasanya,yayasannya
wess,sudah
sabotage,sabotase
btg,batang
monde,biskuit monde
nggedabrus,omong kosong
qatar,qatar
franco,franco
bajernya,pendengung bayarannya
tape,tapai
hands,tangan
ngidamnya,mengidamnya
mereun,mungkin
nyh,nya
dikembaliin,dikembalikan
geruduk,serbu
golkariyah,golkar
urgency,urgensi
hahhhh,tertawa
ngitungin,menghitung
kercunan,keracunan
compare,bandingkan
mekdi,mcdonalds
dianggarin,dianggarkan
ehehe,tertawa
jauuuh,jauh
hoak,hoaks
antra,antara
ads,iklan
thinwall,kotak makan plastik
dukcapil,kependudukan dan pencatatan sipil
acab,benci polisi
tengkyu,terima kasih
lukh,lho
udud,merokok
belanjain,belanjakan
asuuuuu,anjing
dahhh,sudah
nyantai,santai
blur,buram
krjanya,kerjanya
esuk,besok
truck,truk
mbayari,membayari
dideket,di dekat
masakanya,masakannya
cold,dingin
digae,dibuat
isok,bisa
during,selama
nowhere,entah di mana
likey,suka
yallah,ya allah
ngeribetin,merepotkan
rayain,rayakan
habede,selamat ulang tahun
mentioned,sebut
bday,ulang tahun
mwu,mau
necessary,perlu
gaaa,tidak
gawian,kerjaan
wqwq,tertawa
brief,arahan
feat,menampilkan
nderrr,pengirim
antarinstansi,antarinstansi
message,pesan
nyekel,memegang
walas,wali kelas
xd,tertawa
expert,ahli
jtaan,jutaan
akamsi,anak kampung sini
waduuuhh,waduh
bacrit,banyak bicara
few,sedikit
difollow,diikuti
cemana,bagaimana
dried,kering
mergo,karena
mundak,naik
komtol,bajingan
ombe,minum
samaaa,sama
acun,akun
bliau,beliau
close,tutup
af,sekali
anjng,anjing
granmax,mobil gran max
waket,wakil ketua
each,setiap
incer,incar
effective,efektif
bray,kawan
ngebuzz,mendengung
anjgg,anjing
sbux,starbucks
nawar,menawar
dikitt,sedikit
inalilahi,inna lillahi
infrastuktur,infrastruktur
plototin,pelototi
problematic,bermasalah
riyal,nyata
osis,organisasi siswa intra sekolah
awok,tertawa
bantet,bantat
vlongha,plonga plongo
vlongho,plonga plongo
overdrive,berlebihan
mertahanin,mempertahankan
diuntungin,diuntungkan
cheff,koki
geden,besar
nature,alam
dikuasain,dikuasai
saosnya,sausnya
bilg,bilang
asesor,asesor
dtambah,ditambah
budie,budi arie setiadi
aowkwk,tertawa
hahahahha,tertawa
tidakkk,tidak
triple,rangkap tiga
hubunganya,hubungannya
suswa,siswa
carry,gendong
naikkin,naikkan
yamin,mi yamin
disembunyiin,disembunyikan
ngikik,tertawa
nduwe,punya
nguawur,sembarangan
gunain,gunakan
akutuh,aku tuh
srg,sering
ngehandle,menangani
ngebentuk,membentuk
katu,kartu
cuyyyy,kawan
tataboga,tata boga
ngecer,mengecer
measurable,terukur
barista,barista
kemenhub,kementerian perhubungan
pao,bodoh
ajee,saja
oiii,oi
sakitt,sakit
dj,disjoki
humanity,kemanusiaan
bknkah,bukankah
mikiran,memikirkan
cintaa,cinta
losers,pecundang
dikadalin,ditipu
wercok,polisi
niche,ceruk
chiller,lemari pendingin
shark,hiu
beginiii,begini
effortnya,usahanya
rookie,pemula
boba,boba
maag,mag
ngefoto,memfoto
ndez,kampungan
ukmk,usaha mikro kecil dan menengah
nyambut,menyambut
merahputih,merah putih
pundit,pengamat
suplayer,penyuplai
overpopulation,kelebihan penduduk
kegeeran,gede rasa
tololl,tolol
ngaruhnya,pengaruhnya
xixi,tertawa
ngelu,pusing
septictank,tangki septik
jrg,jarang
nepo,nepotisme
ripiw,ulasan
iseh,masih
tiktokan,bermain tiktok
prajab,prajabatan
njaluk,minta
defend,bertahan
daripda,daripada
preeeet,omong kosong
yea,ya
ngehabisin,menghabiskan
macul,mencangkul
ngoreksi,mengoreksi
qualified,berkualifikasi
debt,utang
taekkk,tahi
pajakin,pajaki
cz,karena
bpkb,buku pemilik kendaraan bermotor
higher,lebih tinggi
hobby,hobi
mngkn,mungkin
bismillahirrahmanirrahim,bismillahirrahmanirrahim
eumm,gumam
objective,objektif
likely,kemungkinan
nerbener,benar benar
gerd,asam lambung
anjrrr,wow
yaallahhhh,ya allah
siskamling,sistem keamanan lingkungan
tekwan,tekwan
contohin,contohkan
sdngkan,sedangkan
split,bagi
srh,terserah
wamil,wajib militer
fakkk,sialan
mother,ibu
lach,lah
barudak,anak anak
jol,tiba tiba
risky,berisiko
snacks,kudapan
yaallahh,ya allah
soalnyaa,soalnya
direalisasiin,direalisasikan
swear,sumpah
wosh,kereta cepat whoosh
pesmol,pesmol
tor,kerangka acuan kerja
np,tidak masalah
tehnologi,teknologi
workload,beban kerja
diludahin,diludahi
luck,keberuntungan
nunjuk,menunjuk
wasap,whatsapp
through,melalui
desk,meja
hduh,aduh
tripping,berkhayal
jaklingko,jaklingko
optimalin,optimalkan
lie,bohong
uninstall,hapus instalasi
eaternya,pemakannya
habit,kebiasaan
purely,murni
ormasnya,ormasnya
lobet,lemah baterai
jangn,jangan
dibisnisin,dibisniskan
ngehapus,menghapus
till,sampai
bberapa,beberapa
mangkal,mangkal
yao,ya
ciang,siang
woylah,hei lah
tampa,tanpa
missleading,menyesatkan
fakkkk,sialan
nguping,menguping
western,barat
apbnnya,apbn nya
drtd,dari tadi
pattern,pola
michelin,michelin
nyetak,mencetak
awowkwok,tertawa
bolehh,boleh
engap,sesak napas
pemr,pemerintah
beaya,biaya
nyesuain,menyesuaikan
jossss,mantap
plaksanaan,pelaksanaan
bangsad,bajingan
pulse,pulsa
funding,pendanaan
wokkkk,wah
duhhhh,aduh
apaaaa,apa
jadiii,jadi
bocilnya,bocah kecilnya
warlok,warga lokal
mocking,mengejek
ngamok,mengamuk
pantee,bajingan
ngkong,engkong
wna,warga negara asing
nape,kenapa
pakdhe,pakde
sakau,sakau
hehhh,heh
apaya,apa ya
ngelunjak,melunjak
isolop,polisi
akuuuu,aku
ingyah,ya
jamet,kampungan
capacity,kapasitas
ovt,banyak pikiran
usulin,usulkan
supirnya,sopirnya
kwkw,tertawa
hahahahah,tertawa
jobdesc,deskripsi pekerjaan
rudet,ruwet
upchar,upacara
joz,mantap
sesko,sekolah staf dan komando
kanekes,kanekes
teamwork,kerja sama tim
nyatut,mencatut
odong,odong odong
ngelebihin,melebihi
advisor,penasihat
initu,ini itu
brkelanjutan,berkelanjutan
dibantuin,dibantu
gapeduli,tidak peduli
ngeluhnya,mengeluhnya
manchild,laki laki kekanak kanakan
nyekik,mencekik
heard,dengar
macen,macet
bright,cerah
halodek,halo dek
euphoria,euforia
goblokkkk,bodoh
pretty,cantik
dzuhur,zuhur
oalahhh,oalah
bread,roti
ngerecokin,merecoki
astronot,astronaut
nasa,nasa
starlink,starlink
woalah,oalah
diikutin,diikuti
boongin,bohongi
senpai,senior
seseorg,seseorang
iket,ikat
jta,juta
brojol,lahir
sticker,stiker
serve,melayani
expertise,keahlian
goro,gotong royong
wkwkww,tertawa
cpat,cepat
manehna,dia
kelolodan,tersedak
kimak,bajingan
mistreatment,perlakuan buruk
pokoke,pokoknya
jancuk,sialan
oic,oh saya mengerti
molo,melulu
meaning,arti
ngemplang,mengemplang
accountability,akuntabilitas
bth,butuh
kryawan,karyawan
opp,oposisi
ciyeee,cie
educated,terpelajar
dikentit,dikorupsi
nomnom,makan
jejalin,jejali
mungka,muka
screen,layar
ever,pernah
yon,batalyon
seen,dilihat
nmanya,namanya
dalur,dulur
garesan,makanan
terooos,terus
looting,penjarahan
modalny,modalnya
hokage,hokage
chromebook,laptop chromebook
nyembah,menyembah
sike,bohong
rkuhp,rancangan kitab undang undang hukum pidana
tlur,telur
mhl,mahal
wlpun,walaupun
nyentil,menyentil
tujuanny,tujuannya
taekkkk,sialan
dapodik,data pokok pendidikan
untouchable,tak tersentuh
kanca,teman
calistung,baca tulis hitung
waalaikumsalam,waalaikumsalam
ubie,ubi
afsel,afrika selatan
ngirimin,mengirimkan
perkoro,perkara
gentho,preman
kept,disimpan
praising,memuji
masang,memasang
bsm,bantuan siswa miskin
letoy,lemah
heyy,hei
naget,nugget
dibodohin,dibodohi
onest,jujur
autis,autis
senseii,guru
weee,hei
bapake,bapaknya
nohh,itu
sklhku,sekolahku
appreciate,hargai
kpedulian,kepedulian
thoyiban,tayiban
katsunya,katsunya
comedy,komedi
ambis,ambisius
anggaranny,anggarannya
gadimakan,tidak dimakan
xnya,eksnya
yaudalah,ya sudah lah
jmput,jemput
notif,notifikasi
sempetnya,sempatnya
ubun,ubun ubun
dude,kawan
tololll,tolol
flood,banjir
dramatisir,dramatisasi
shelter,tempat penampungan
nggilani,menjijikkan
penyelengara,penyelenggara
membutuhkn,membutuhkan
ptong,potong
nyalah,menyalah
founder,pendiri
abpn,apbn
diancem,diancam
enaak,enak
anehh,aneh
wondr,wondr
officer,petugas
ngebajerin,mendengung
resource,sumber daya
dikomplen,dikomplain
digi,digital
teross,terus
kykny,kayaknya
ngendaliin,mengendalikan
ajr,wow
merput,merah putih
picture,gambar
stocknya,stoknya
tetapin,tetapkan
bnjir,banjir
ger,gerakan
koro,kacang koro
yakkk,ya
prognas,program nasional
iup,izin usaha pertambangan
devisi,divisi
gf,pacar
ngedata,mendata
ornag,orang
disodorin,disodorkan
jejeli,jejali
mengko,nanti
mandang,memandang
tungguin,tunggu
baobei,sayang
nok,nak
alahh,alah
kacrut,jelek
trtentu,tertentu
pascainsiden,pascainsiden
ngelindes,melindas
censorship,penyensoran
arahin,arahkan
muse,inspirasi
mbas,mbak
clipper,alat pemotong
ndiri,sendiri
bemcana,bencana
distance,jarak
circlenya,pertemanannya
anjerr,wow
smtr,semester
verif,verifikasi
crackers,biskuit
bangsatt,bangsat
demanding,menuntut
masalahe,masalahnya
ngucur,mengucur
corsell,korea selatan
hee,heh
pnh,pernah
woooooiiiiiiii,woi
guwah,saya
carpet,karpet
jijiik,jijik
ngejer,mengejar
childfree,bebas anak
wonton,pangsit
pangansari,pangansari utama
bundle,bundel
gwah,saya
greedy,serakah
salesnya,tenaga penjualnya
tengo,tenggo
anjrit,wow
anjrot,wow
krupsi,korupsi
rupsi,korupsi
dukungprogrampemerintah,dukung program pemerintah
lanjutkanmbggenerasisehat,lanjutkan makan bergizi gratis generasi sehat
kesejahteraananakpapua,kesejahteraan anak papua
mbgcegahstunting,makan bergizi gratis mencegah stunting
mbgwujudkanindonesiahebat,makan bergizi gratis wujudkan indonesia hebat
pengawasanberkualitas,pengawasan berkualitas
mbgnutrisiuntukmasadepan,makan bergizi gratis nutrisi untuk masa depan
b g n,badan gizi nasional
w o w,wow
kerjanyataresiden,kerja nyata presiden
erhimpunan,perhimpunan
salahgunakan,disalahgunakan
hingg,hingga
kekersan,kekerasan
kejanyataprabowogibran,kerja nyata prabowo gibran
prabowogibranuntukrakyat,prabowo gibran untuk rakyat
indonesiakuat,indonesia kuat
g0bl0k,bodoh
mbuh,tidak tahu
plnuntukindonesia,perusahaan listrik negara untuk indonesia
plnuntuksemua,perusahaan listrik negara untuk semua
semanggi02,semanggi 02
mendukunh,mendukung
batalkanruutni,batalkan rancangan undang undang tni
supremasisipil,supremasi sipil
tolakruupolri,tolak rancangan undang undang polisi republik indonesia
andik,andil
g bl k,bodoh
bergisinya,bergizinya
dah,sudah
yauds,ya sudah
bagiin,bagikan
dimangkrakkan,diterbengkalaikan
bgn pgi,bangun pagi
bgn pagi,bangun pagi
bgn siang,bangun siang
malam ari,malam hari
paginye,paginya
saban ari,setiap hari
lawak,lelucon
keraunan,keracunan
kera*unan,keracunan
kolaborasitingkatkanpendidikan,kolaborasi tingkatkan pendidikan
banggambg,bangga makan bergizi gratis
timbekal,tim bekal
prabowomementingkanrakyat,prabowo mementingkan rakyat
banggamelayanibangsa,bangga melayani bangsa
transformasipanganenergi,transformasi pangan energi
mbgaksinyata,makan bergizi gratis aksi nyata
kolaborasiperkuatbangsa,kolaborasi perkuat bangsa
kaburajadulu,kabur aja dulu
mbgsukses,makan bergizi gratis sukses
turunkanstuntingpapua,turunkan stunting papua
tnipolrikawalmbgdipapua,tni polri kawal makan bergizi gratis di papua
indonesiatidakgelap,indonesia tidak gelap
nutrisiuntukbangsa,nutrisi untuk bangsa
meningkatkanefektifitasmbg,meningkatkan efektifitas makan bergizi gratis
mbginvestasimasadepan,makan bergizi gratis investasi masa depan
sejutasenyumkarenambg,sejuta senyum karena makan bergizi gratis
lanjutkanmbgindonesiagemilang,lanjutkan makan bergizi gratis indonesia gemilang
papuabebasstunting,papua bebas stunting
mbghalal,makan bergizi gratis halal
mbgquality,makan bergizi gratis berkualitas
savekipkuliah,selamatkan kartu indonesia pintar kuliah
hapuskanmbg,hapuskan makan bergizi gratis
batalkanefisiensianggaranpendidikan,batalkan efisiensi anggaran pendidikan
daruratpendidikan,darurat pendidikan
ordekorupsi,orde korupsi
tolakruutni,tolak rancangan undang undang tni
makzulkanprabowogibran,makzulkan prabowo gibran
tolakkebijakantmtserentak,tolak kebijakan terhitung mulai tanggal serentak
cabutuutni,cabut undang undang tni
tolakuutni,tolak undang undang tni
menolaklupa,menolak lupa
jokowipenipuijazah,jokowi penipu ijazah
tolakpercobaanvaksintbc,tolak percobaan vaksin tbc
mbgpondasiindonesiaemas2045,makan bergizi gratis pondasi indonesia emas 2045
janganlengah,jangan lengah
4nje3n664k,anjing
mbguntukgenerasimasadepan,makan bergizi gratis untuk generasi masa depan
mbgmasadepanpapua,makan bergizi gratis masa depan papua
wapressukseskanmbgbengkulu,wapres sukseskan makan bergizi gratis bengkulu
mbgbantuumkm,makan bergizi gratis bantu umkm
papuadukungmbg,papua dukung makan bergizi gratis
bersamadukungmbg,bersama dukung makan bergizi gratis
aksinyatapresiden,aksi nyata presiden
gizibaik,gizi baik
kudos,pujian
ogah2an,malas malasan
buay,buat
legit,asli
know,tahu
live healthier lives,hidup lebih sehat
sad food,makanan menyedihkan
matcjett,macet
hakiki,sebenarnya
thats why,pantas saja
take it with your own grain of salt,jangan langsung percaya
this may be fact or fiction,ini bisa jadi fakta atau fiksi
apaannnn,apa apaan
ngapainn,buat apa
keslhn,kesalahan
n,dan
plus,ditambah
mbg g nya,makan bergizi gratis huruf g nya
mbs s nya,makan bergizi gratis huruf s nya
10rb(standar pemerintah),sepuluh ribu standar pemerintah
so,jadi
donk,dong
badget,anggaran
rd,rada
tapiiiiiiii,tetapi
u/,untuk
qir mineral,air mineral
qir mineralnya,air mineralnya
bagi2kan,membagi bagikan
kerennnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,keren
kerennnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,keren
awkwkwkwkwkwkwkkwwk,tertawa
handa tolan,handai tolan
handai taulan,handai tolan
enaknyaaaa,enaknya
keep up the great work,lanjutkan kinerja yang bagus
welcome back,selamat datang kembali
saat'y,saatnya
untukmenciptakan,untuk menciptakan
suksesjan,sukseskan
bare minimum,standar minimal
bare minimumnya,standar minimalnya
food poisioning,keracunan makanan
food safetynya,keamanan makanannya
trickle down,efek menetes ke bawah
gtlah,begitulah
nongton,nonton
travelling,jalan jalan
nanangi,menangani
offeringnya,penawarannya
pokoknyadukungan,pokoknya dukungan
besarsalut,besar salut
soluso,solusi
trumb,trump
darib,dari
lebihhh,lebih
halalm,halal
kelacunan,keracunan
progrwm,program
collaps,runtuh
good job,kerja bagus
cakeeppppp,bagus
ripyu,ulasan
nakeuh,yaitu
peukureung,dikurangi
keep it up,pertahankan
good morning good people,selamat pagi orang orang baik
ofkos,tentu saja
all out,totalitas
upf,makanan ultra proses
grassroot,akar rumput
bjay,wow
pemerentah,pemerintah
harinii,hari ini
bentukannya,wujudnya
kentank,kentang
nny,nanya
membuktikn,membuktikan
xangat,sangat
janga panjang,jangka panjang
harininj,hari ini
rather than focus giving,daripada fokus memberi
money laundry,pencucian uang
srimul,sri mulyani
bm,ingin
pendukunge,pendukungnya
side effect,efek samping
koyok ngene,seperti ini
sek akeh,masih banyak
koyok,seperti
sek ngalami,masih mengalami
opo maneh arek cilik sg,apa lagi anak kecil yang
durung iso nerimo,belum bisa menerima
nithili,makan sedikit sedikit
yatapi,iya tetapi
it's pissing me off so badly man,ini sangat membuat saya marah
overmanned,kelebihan staf
under-equipped,kekurangan peralatan
against it,menentang itu
yall did not listen,kalian tidak mendengar
anjirrr,anjir
gituudehhh,begitu deh
even if it s true at least,bahkan jika itu benar setidaknya
or more,atau lebih
i thought it was a joke,saya kira ini bercanda
where,dimana
aparatuur,aparatur
out of the box,kreatif
and u know all this sacrifices just for what,dan anda tahu semua pengorbanan ini hanya untuk apa
yangbpertama,yang pertama
and his gank,dan gengnya
born again out now,lahir kembali sekarang
m'perkaya,memperkaya
mperkaya,memperkaya
kkkkkoonnttt,bajingan
ngedoxing,menyebarkan data pribadi
everybody knows,semua orang tahu
ngono wae kok angel,begitu saja kok repot
madang sek lekk,makan dulu bang
semrawut,berantakan
efisyensi,efisiensi
kateringan,katering
depicit,defisit
epicienci,efisiensi
case closed,masalah selesai
mgotot,ngotot
gatot,gagal total
mandet,mandek
orangorang,orang orang
ckckckkc,heran
vemdor,vendor
ngespill,membocorkan
berbulanbulan,berbulan bulan
move on,lanjutkan
kakaakk,kakak
pemerentahnya,pemerintahnya
mlempem,lemah
pu,pekerjaan umum
pres,presiden
awikwok,tertawa
awowkwowkwowk,tertawa
enabler 02,pendukung prabowo
penyepong,penjilat
penyepong rezim,penjilat pemerintah
ksitu,kesitu
ygvlain,yang lain
push rank,kejar target
apeee,apa
adee,ada
kesabarannyaa,kesabarannya
bertrilyun,bertriliun
dnger,dengar
lontonge,lontongnya
nerjang,menerjang
pribadi rk,pribadi ridwan kamil
solat id,salat idul fitri
busengg,astaga
like please do explain it to me because maybe perhaps im the stupid one here,tolong jelaskan kepada saya karena mungkin saya yang bodoh disini
mirisss,miris
dibantab,dibantah
ndasmu,kepalamu
aowkaowloaw,tertawa
kocaggg,kocak
pack pleciden,bapak presiden
but you guys chose to vote for,tetapi kalian memilih
kadernyq,kadernya
kemenhut,kementerian kehutanan
ledink,air ledeng
trekking,mendaki
this man is just have a big mouth which one country who want to learn this program,pria ini hanya besar mulut negara mana yang ingin belajar program ini
kocakkk,kocak
becus,mampu
memekkkk,bajingan
my father with full confidence talking abt mbg and how it is also,ayah saya dengan penuh percaya diri berbicara tentang makan bergizi gratis dan bagaimana itu juga
that mbg even exist,bahwa makan bergizi gratis itu ada
and what if i scream,dan bagaimana jika saya berteriak
mash,masih
bs2nya,bisa bisanya
cenblu,centang biru
tolollll,tolol
njirrr,anjir
maam,makan
pemerntah,pemerintah
trillliun,triliun
food safety,keamanan makanan
stat,statistik
successful rate,tingkat keberhasilan
successful,berhasil
hygiene factor,faktor kebersihan
sueuh,suruh
ikiiii,ini
isekai,dunia lain
fuck yu,sialan kau
blow up,viral
lulus s1 alias do,putus kuliah
isriwil,israel
coiii,kawan
mission success,misi berhasil
samsekkkkk,sama sekali
slice beef,irisan daging sapi
maumaunyaaaa,mau maunya
pukiii,sialan
iding the wave,ikut ikutan
ajalu,saja kamu
waste foodnya,makanan sisanya
unacceptable,tidak dapat diterima
rakjel,rakyat jelata
bodohhhjjj,bodoh
bodohj,bodoh
he s just nothing,dia bukan siapa siapa
fuck off,pergi sana
as a leader,sebagai pemimpin
speechless,tidak bisa berkata kata
woooooo,wah
disefong,dijilat
abis2san,habis habisan
teroosss,terus
akhhhhhhhhhahahahahahhshahahagaha,tertawa
msh annnnn,masih
hwushwhwhuwhwushwueheheheeeghhhhhhh,frustrasi
at this point,pada titik ini
quality control,kendali mutu
fresh graduate,lulusan baru
precisely,tepat sekali
kui,itu
janjane,sebenarnya
kog,kok
bentuke,bentuknya
behimane,bagaimana
kamumau,kamu mau
akugak,aku tidak
sit at the top,berkuasa
and so on,dan lain lain
ki po ra,ini apa tidak
marakke,membuat
madyang,makan
certified,terbukti
certified 02 voters,pemilih prabowo
outing-class,belajar di luar kelas
71t,71 triliun
tidam,tidak
terdelay,tertunda
skill issue,kurang kemampuan
impression,kesan
replyannya,balasannya
segmentasiny,segmentasinya
fak yu all,sialan kalian semua
common sense,akal sehat
engagement,interaksi
thats it,itu saja
b̶e̶r̶a̶c̶u̶n̶,beracun
pilihanlo,pilihanmu
badangizi,badan gizi
indomesia,indonesia
on behalf privileged,atas nama hak istimewa
pun10,permisi
death sentence,hukuman mati
sebelom,sebelum
kmdn,kemudian
sikit,sedikit
all in,dukung penuh
i'm telling you it's useless the amount of food waste tho,saya beritahu itu tidak berguna karena banyaknya makanan sisa
nggondok,kesal
bendino jek mikiri nggawakno bontotan opo iki,setiap hari masih memikirkan membawakan bekal apa ini
kekmya,sepertinya
barubyah,berubah
kick off,dimulai
sibukk,sibuk
enlighten me please,tolong jelaskan kepada saya
ceuk urg mah,menurut saya
what the fuck,apa apaan ini
pepek,sialan
get it you hate anies,saya mengerti anda membenci anies
koq,kok
pemerenta,pemerintah
that means u r stupid as fuck,itu berarti anda sangat bodoh
sorry not sorry tho,maaf tapi saya tidak menyesal
abege,remaja
bloggggghhhh,bodoh
blogh,bodoh
lagaknya,gayanya
allahcmiiw,tuhan yang lebih tahu koreksi jika saya salah
total trash,sampah total
dilolohi,disuapi
purun,mau
stetment,pernyataan
goublok,bodoh
bikin sek rakyat,bikin sekolah rakyat
iki kok sek gak paham ae seh,ini kok masih tidak paham saja sih
qta,kita
fck governments,persetan pemerintah
proops,dukungan
ingdon,indonesia
kereka,mereka
bngttt,banget
bersetmen,berpendapat
hqrus,harus
gilsss,gila
hubgan,hubungan
one day one,satu hari satu
berktp,berkartu tanda penduduk
it's all about time,ini hanya masalah waktu
fail,gagal
israhell,israel
ngincipin,mencicipi
sikrit,rahasia
sakah,salah
putaw,narkoba
suru,suruh
itungin,hitungkan
it isn't a good sign,ini bukan pertanda baik
pmerintan,pemerintah
bera,beras
beras impor ta seng mbok gawe,beras impor kah yang kamu pakai
kebencanaan,kebencanaan
dapwr,dapur
intv,intervensi
you can't make this shit up,ini benar benar nyata dan konyol
laopo,buat apa
kasihakan,berikan
ngtnttttt,kurang ajar
the name is program,namanya juga program
i dont know who’s dumber than this,saya tidak tahu siapa yang lebih bodoh dari ini
sembrautnya,berantakannya
the audacity this person has to talk like that,berani beraninya orang ini bicara seperti itu
I already know from election year,saya sudah tahu dari tahun pemilu
i dont need to know this person is so ass for being president,saya tidak perlu tahu orang ini sangat buruk menjadi presiden
spik up,angkat bicara
kebijakannua,kebijakannya
and the irony is,dan ironisnya adalah
this is waaayyy too evil,ini terlalu jahat
diabolical,sangat kejam
ngekonsep,membuat konsep
ema,ibu
stop treating humans as statistic,berhenti memperlakukan manusia sebagai statistik
waste money,buang buang uang
waste food,buang buang makanan
anat,amat
genuine question,pertanyaan serius
f&amp;b,makanan dan minuman
duitnyabhbs,duitnya habis
do you know what pisses me the fuck off?,tahukah anda apa yang membuat saya sangat marah
cangjo,kacang hijau
cangcok,jancok
profitnya,keuntungannya
fake news beware,awas berita palsu
contract farming,pertanian kontrak
did mbg get an editor,apakah mbg punya editor
septic tank,tangki septik
septik tank,tangki septik
indonesiachina,indonesia china
pendisytribusian,pendistribusian
aku request,saya minta
has been published on hantaran,telah diterbitkan di hantaran
open recruitment,rekrutmen terbuka
lonching,peluncuran
banti,bantu
paroro,prabowo
tysm,terima kasih banyak
tompo rapor,terima rapor
mngambil,mengambil
multiplier effect,efek berganda
mbguntukpapua,makan bergizi gratis untuk papua
makansehatmasadepanhebat,makan sehat masa depan hebat
sinergitasuntukbangsa,sinergitas untuk bangsa
rapbn2026,rancangan anggaran pendapatan dan belanja negara 2026
anaksehatanakhebat,anak sehat anak hebat
polisicintapetani,#polisicintapetani
bangungenerasisehat2045,bangun generasi sehat 2045
mbgdipapua,makan bergizi gratis di papua
mbgbangungenerasihebat,makan bergizi gratis bangun generasi hebat
mbgwujudkangenerasihebat,makan bergizi gratis wujudkan generasi hebat
bgnsiapkangenerasiemas,badan gizi nasional siapkan generasi emas
sehatuntuksemua,sehat untuk semua
mbguntukmasadepancerah,makan bergizi gratis untuk masa depan cerah
tb,tiba
njut,terus
sifnifikan,signifikan
